"이름","주최","분야","카테고리","모집 상태","접수 시작일","마감일","상금/혜택","링크","출처","태그","비고"
"2026 한국수력원자력 유튜브 짧은영상 공모전","한국수력원자력/","영상/숏폼","광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 과학/공학, 예체능/미술/음악, 기타","모집중","2026-06-01","2026-07-30","3천만원~1천만원 / 500만원","https://www.khnp.co.kr/main/selectWebEventManageView.do?key=382&ntcobSeq=284","위비티","#위비티, #자동수집, #AI광고, #AI이미지, #영상","위비티에서 자동 수집한 공모전입니다. 접수기간, 제출 형식, 참가 조건은 공식 페이지에서 다시 확인하세요."
"[국립아시아문화전당] 2026 ACC 민주·인권·평화 영상(+AI) 콘텐츠 공모전","국립아시아문화전당/","영상/숏폼","광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 예체능/미술/음악, 기타","모집중","2026-05-18","2026-07-31","3천만원~1천만원 / 500만원","https://www.acc.go.kr/main/board/board.do?PID=0701&boardID=NOTICE&action=Read&idx=2775","위비티","#위비티, #자동수집, #AI광고, #AI이미지, #영상, #생성형AI","위비티에서 자동 수집한 공모전입니다. 접수기간, 제출 형식, 참가 조건은 공식 페이지에서 다시 확인하세요."
"2026년 서울 사랑의열매 AI 영상 공모전","서울사회복지공동모금회","영상/숏폼","AI 나눔 메시지 영상","모집중","2026-06-01","2026-07-31","열매대상 100만원 등","https://www.wevity.com/index_university.php?c=find&s=_university&mode=future&gbn=viewok&gp=1&ix=107375","수동보강","#AI영상, #숏폼, #나눔","AI 나눔 메시지 영상 제작 공모전 'CHEST x AI'. 생성형 AI 기반 제작 문구 삽입이 필요합니다."
"Midjourney Community Contest","Midjourney","이미지","AI 이미지 생성","상시","2026-01-01","2026-12-31","커뮤니티 상금","https://www.midjourney.com","","#Midjourney, #AI이미지, #커뮤니티","Midjourney 커뮤니티 공모전. 매주 테마별 챌린지 진행."
"Suno AI 음악 공모전 (Community)","Suno AI Community","음악","AI 음악 생성","상시","2026-01-01","2026-12-31","Community Prizes","https://suno.com","","#Suno, #AI음악, #커뮤니티","Suno AI를 활용한 음악 제작 커뮤니티 공모전. 매월 우수작 선정."
"1B AI Film Award (Google Gemini)","1 Billion Followers Summit, Google","영상","AI 영화·글로벌","마감","2025-09-01","2025-11-20","$1,000,000 (약 13억원)","https://www.1billionsummit.com","","#Google, #Gemini, #AI영화","Google Gemini·Veo 3·Flow 활용 필수. 2026.1.11 두바이에서 수상자 발표 완료."
"2026 AI INNOVATION CHALLENGE","아모레퍼시픽","영상","AI 에이전트·광고","마감","2025-11-28","2026-01-04","총 상금 3,000만원 (대상 1,000만원)","https://www.blaybus.com","","#아모레퍼시픽, #AI에이전트, #브랜디드","AGENT TRACK: AI 에이전트 개발, CREATIVE TRACK: 브랜디드 AI 영상 콘텐츠 제작."
"OpenData X AI 챌린지 2026","중소벤처기업부","해외","AI 스타트업·공공데이터","마감","2025-11-01","2026-02-12","창업 사업화·R&D·전문인력·정책자금 지원","https://www.etnews.com","","#공공데이터, #중소기업부, #AI스타트업","공공데이터+AI 기술로 중소기업·소상공인 문제 해결. 124개 기업 참여, 최종 6개 선정."
"KGM 무쏘맨 AI 어워즈 (MUSSOMAN AI AWARDS)","KG모빌리티(KGM)","영상","AI 영상·광고","마감","2026-01-23","2026-02-19","총 상금 1,100만원 (대상 300만원, 부문별 1등 각 200만원)","https://www.kg-mobility.com","","#KGM, #무쏘맨, #AI영상","무쏘 픽업 캐릭터 '무쏘맨' 활용 AI 영상 공모전. 조회수+심사로 수상 결정. 대상과 부문별 1등 중복수상 가능(최대 500만원). 수상작 발표 2/24."
"메디힐 AI 영상 광고·숏폼 공모전 2026","메디힐, 스튜디오프리윌루전","영상","AI 영상·광고","마감","2026-01-30","2026-02-26","총 상금 2,500만원 (대상 700만원)","https://aikive.com/event/ongoing","","#생성형AI, #메디힐, #광고","메디힐 '더마 패드 2.0' 제품을 AI 영상 언어로 재해석. 우수 수상자에게 인턴십 및 채용 기회 제공."
"2026 청강국제AI장르영상제 (CKAIFF)","청강문화산업대학교","영상","장르영화","마감","2026-02-01","2026-02-28","공식 요강 참고","https://www.ck.ac.kr","","#AI영화, #장르영화, #CKAIFF","2025.3~2026.2 제작된 AI 활용 장르 영화 대상. 개인/팀 참여 가능."
"빨라쪼(Palazzo) CM송 공모전","해태제과 빨라쪼","음악","AI 음악·CM송","마감","2026-02-01","2026-02-28","상금 및 상품 수여","https://www.instagram.com/palazzo_kr","","#빨라쪼, #CM송, #AI음악","빨라쪼 브랜드를 주제로 한 CM송 제작 공모전. AI 활용 가능. 상세 내용은 공식 SNS 참조."
"제2회 지센 AI 아트 콘테스트 (위비스)","위비스(Wibys), 지센(ZISEN)","이미지","AI 아트·패션","마감","2026-02-11","2026-03-01","1등 50만원, 2등 위비스몰 포인트 15만원(3명), 3등 10만원(5명)","https://www.allforyoung.com","","#위비스, #지센, #AI아트","주제: '빛나는 나'. 지센 브랜드 스타일을 AI로 창의적 표현. SNS 좋아요·댓글 수 추가 점수 반영."
"제2회 OMBF 오븐마루치킨 영상공모전","오븐마루치킨 (주식회사 오엠푸드)","영상","AI 광고·브랜디드","마감","2025-12-29","2026-03-03","총 상금 600만원 (대상 300만원, 최우수상 100만원, 우수상 50만원x2)","https://www.ovenmaru.com","","#오븐마루, #브랜디드, #영상공모전","'치킨의 새로운 기준, 오븐마루치킨' 주제. AI 활용 가능하나 창작 요소 포함 필수. SNS 전체공개 업로드 후 구글폼 제출."
"제64회 진해군항제 AI 영상 공모전","창원시, 진해이순신축제위원회","영상","AI 영상·지역축제","마감","2026-01-29","2026-03-06","대상 200만원, 최우수상 100만원, 우수상 50만원","https://www.thinkyou.co.kr","","#군항제, #진해, #AI영상","진해군항제 관련 자유 주제 AI 영상. AI 도구·프롬프트 요약 제출 필수. 수상작은 군항제 공식 YouTube 채널 활용."
"2026년 인공지능 기술사업화 지원사업","서울특별시, 서울경제진흥원","해외","AI 기술사업화","마감","2026-02-12","2026-03-10","과제당 최대 2억원","https://www.koraia.org","","#사업화, #중소기업, #서울","AI 기술사업화 지원. 피지컬 AI는 최대 5억원. 서울 소재 중소기업 대상."
"News to Action AI Hackathon 2026","매경미디어","해외","AI 해커톤·서비스","마감","2026-02-01","2026-03-20","대상 200만원, 최우수상 150만원, 우수상 100만원 + Claude 크레딧","https://www.mk.co.kr","","#해커톤, #매경미디어, #뉴스AI","뉴스 데이터를 활용한 AI 서비스 개발 해커톤. 2026.3.20 본 행사 개최."
"「AI로 담아낸 양산의 30년」 홍보영상 공모전","양산시 AI스마트시티과","영상","AI 영상·지역홍보","마감","2026-03-01","2026-03-31","총 상금 220만원 (최우수 100만원, 우수 70만원, 장려 50만원)","https://linkareer.com","","#양산시, #AI영상, #지역홍보","양산시 30주년 기념 AI 홍보영상 공모전. 마감 2026.3.31. 결과 발표 4월 중. 문의: 양산시 AI정책팀 055-392-3154."
"2026 고양국제꽃박람회 생성형 AI 공모전 「블루밍 퓨처」","고양시","영상","AI 영상·숏폼","마감","2026-03-01","2026-03-31","총 상금 100만원","https://www.kakao.com","","#고양시, #꽃박람회, #AI숏폼","주제: 2126년 고양국제꽃박람회의 모습. 생성형 AI로 제작한 15~60초 숏폼 영상. 마감 2026.3.31, 결과 발표 4월 6일."
"2026 EBS 생성형 AI 애니메이션 시리즈 공동제작","EBS (한국교육방송공사)","영상","애니메이션·교육","마감","2026-02-11","2026-03-31","프로젝트당 8천만원 (최대 5개 선정)","https://www.ebs.co.kr","","#생성형AI, #애니메이션, #EBS","유아·어린이·가족 대상 TV 애니메이션. 선정작은 2026년 12월 EBS 방영 예정."
"후라이드참잘하는집 AI 광고영상 공모전","후라이드참잘하는집, 초록뱀미디어","영상","AI 광고·브랜디드","마감","2026-02-15","2026-03-31","총 상금 4,000만원","https://www.greensnaketv.com","","#후참잘, #AI광고, #브랜디드","후참잘 브랜드 주제 AI 광고 공모전. KAiCF 광고 부문. 수상자에게 AI 콘텐츠 협업·채용 기회 제공."
"제1회 꿈꾸는 아리랑 AI 뮤직비디오 공모전","다솜한국학교협의회","영상","AI 영상·뮤직비디오","마감","2026-02-25","2026-04-04","총 상금 1,300만원 (1등 300만원, 2등 150만원×2, 3등 40만원×10, 4등 10만원×30)","https://www.aikkumhub.com","","#아리랑, #AI뮤직비디오, #AI영상","AI 영상 생성 도구를 100% 활용해 나만의 아리랑을 담은 뮤직비디오 제작. 수상 발표 2026.4.25. 공식 홈페이지: aikkumhub.com"
"Korea Global K Contents AI Cinema Festival","Korea Global","영상","K-콘텐츠·영화","마감","2026-02-10","2026-04-20","공식 요강 참고","https://filmfreeway.com","","#AI영화, #K-콘텐츠, #글로벌","인간-AI 협업을 통한 K-푸드 및 K-콘텐츠 영화제. 생성형 AI 창의적 활용 필수."
"OK저축은행 29역 숏폼왕","OK저축은행","영상","AI 영상·숏폼","마감","2026-03-01","2026-04-23","총 상금 3,000만원 (일반영상 부문 1등 1,000만원, AI영상 부문 1등 600만원)","https://ok.29sking.com","","#OK저축은행, #29역, #AI숏폼","일반영상 부문과 AI영상 부문으로 나뉘어 진행. 총 상금 3,000만원 규모. 마감 2026.4.23(목) 17시. 공식 홈페이지: ok.29sking.com"
"2026 서초구 청년 AI 디자인 공모전","서울 서초구","이미지","AI 디자인·이미지·영상","마감","2026-03-03","2026-04-30","총 상금 1,280만원 (대상 200만원, 최우수상 100만원, 우수상 70만원×2, 장려상 50만원×7)","https://aiseocho.gcontest.co.kr","","#서초구, #AI디자인, #청년공모전","주제: 'NEXT 서초' 미래 서초구의 모습을 AI로 형상화. 1차 선정 20팀은 5월 '청년 AI 디자인캠프' (특강·멘토링) 필수 참여. 접수: aiseocho.gcontest.co.kr"
"제8회 곰랩 영상 공모전 '백만 유튜버 상상이라도 해보자' with 유쾌한생각","곰앤컴퍼니 (곰랩), 유쾌한생각","영상","영상편집·크리에이터","마감","2026-03-30","2026-04-30","총 1,000만원 상당 (대상 상금 100만원+조명+곰이지패스, 특별상 상금 50만원+DJI드론네오2+조명, 참가자 전원 혜택)","https://contest.gomlab.com/contest/202604","","#곰랩, #영상공모전, #유쾌한생각","주제: ①크리에이터 망상 패러디 ②이게 콘텐츠가 된다고? ③장비빨 vs 편집빨 ④30초 숏폼 지옥. 투표 5/4~5/10, 발표 5/14. 공식: contest.gomlab.com/contest/202604"
"Pika AI Video Challenge 2026","Pika","영상","AI 영상 생성","마감","2026-01-15","2026-04-30","$10,000","https://pika.art","","#Pika, #AI영상, #비디오생성","Pika AI를 활용한 창의적 비디오 제작 공모전."
"Udio AI Music Challenge 2026","Udio","음악","AI 음악 생성","마감","2026-02-01","2026-04-30","공식 요강 참고","https://udio.com","","#Udio, #AI음악, #음악생성","Udio AI를 활용한 음악 생성 공모전. 다양한 장르 환영."
"NFL Big Data Bowl 2026 - Analytics","Kaggle / NFL","해외","AI 스포츠 분석","마감","2025-10-01","2026-05-01","$50,000","https://www.kaggle.com/competitions","","#Kaggle, #NFL, #스포츠분석","NFL 빅데이터 분석 대회. 총 상금 $50,000. 278팀 참여 중."
"Runway Gen-3 Film Contest","Runway","영상","AI 영상 생성","마감","2026-02-01","2026-05-15","$25,000","https://runwayml.com","","#Runway, #AI영상, #Gen-3","Runway Gen-3를 활용한 단편 영화 공모전. 창의적 스토리텔링 중심."
"2026 제2회 AI 그림책 공모전","한국기독AI작가협회","이미지","AI 그림책·이미지","마감","2026-05-11","2026-05-23","총 상금 150만원 (대상 50만원, 최우수상 30만원×2, 우수상 20만원×2)","https://www.contestkorea.com","","#AI그림책, #한국기독AI작가협회, #이미지","성경분과(구약·신약 기반)와 일반분과(자유주제) 2개 부문. 심사: 독창성 40%·예술성 30%·완성도 30%. 시상식 및 북토크 5/30 강남 스파크플러스. 접수: 5/11~5/23. 문의: joohaho@hanmail.net"
"2026 동화나라 창작동화 공모전","동화나라","스토리/동화","생성형 AI 창작동화","마감","2026-05-25","2026-06-08","대상 15만원 및 수상작 앱 내 정식 오디오북/콘텐츠 발행","https://www.allforyoung.com/posts/82469","수동보강","#생성형AI, #창작동화, #스토리","공모 주제는 '모양이 달라도 우리는 가족이야'. 다양한 가족의 형태를 다룬 따뜻한 창작 동화 기획 공모전입니다."
"AI EXPO KOREA 2026 - NEXT 해커톤","AI EXPO KOREA","해외","AI 해커톤","마감","2026-04-01","2026-06-10","$50,000","https://www.smarttechkorea.com","","#해커톤, #AI엑스포, #코엑스","2026.6.10-12 서울 코엑스. 인공지능 & 빅데이터쇼 NEXT 해커톤."
